,Unnamed: 0,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,city,LATITUDE,LONGITUDE,weather
562,562,1544832000,UA,UA_CODESHARE,UA,5258,OO,N926SW,5258,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1920,1859.0,-21.0,12.0,1911.0,1951.0,55.0,2030,2046.0,16.0,0,,0,N,70.0,107.0,40.0,1,174,0.0,0.0,16.0,0.0,0.0,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
563,563,1516838400,DL,DL,DL,1683,DL,N967AT,1683,11977,GRB,"Green Bay, WI",13487,MSP,"Minneapolis, MN",625,623.0,-2.0,27.0,650.0,745.0,7.0,746,752.0,6.0,0,,0,N,81.0,89.0,55.0,1,252,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
564,564,1549584000,AA,AA_CODESHARE,AA,3679,MQ,N612AE,3679,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1621,1709.0,48.0,6.0,1715.0,1759.0,13.0,1734,1812.0,38.0,0,,0,N,73.0,63.0,44.0,1,174,0.0,5.0,0.0,0.0,33.0,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
565,565,1546300800,DL,DL_CODESHARE,DL,3529,OO,N440SW,3529,11977,GRB,"Green Bay, WI",13487,MSP,"Minneapolis, MN",1315,1307.0,-8.0,18.0,1325.0,1416.0,4.0,1439,1420.0,-19.0,0,,0,N,84.0,73.0,51.0,1,252,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
566,566,1551312000,UA,UA_CODESHARE,UA,3865,ZW,N410AW,3865,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1510,1459.0,-11.0,11.0,1510.0,1553.0,9.0,1626,1602.0,-24.0,0,,0,N,76.0,63.0,43.0,1,174,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
567,567,1550966400,DL,DL_CODESHARE,DL,3717,OO,N275SY,3717,11977,GRB,"Green Bay, WI",13487,MSP,"Minneapolis, MN",1145,1149.0,4.0,31.0,1220.0,1304.0,5.0,1303,1309.0,6.0,0,,0,N,78.0,80.0,44.0,1,252,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
568,568,1575158400,F9,F9,F9,1231,F9,N307FR,1231,11977,GRB,"Green Bay, WI",13204,MCO,"Orlando, FL",936,1214.0,158.0,50.0,1304.0,1633.0,21.0,1328,1654.0,206.0,0,,0,N,172.0,220.0,149.0,1,1169,105.0,0.0,48.0,0.0,53.0,1022.0,65.0,65.0,,Green Bay,44.48507,-88.12959000000002,cloudy
569,569,1546819200,UA,UA_CODESHARE,UA,3860,ZW,N409AW,3860,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1200,1155.0,-5.0,9.0,1204.0,1256.0,19.0,1316,1315.0,-1.0,0,,0,N,76.0,80.0,52.0,1,174,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
570,570,1577577600,UA,UA_CODESHARE,UA,4813,ZW,N416AW,4813,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1200,1153.0,-7.0,8.0,1201.0,1247.0,14.0,1322,1301.0,-21.0,0,,0,N,82.0,68.0,46.0,1,174,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
571,571,1545523200,UA,UA_CODESHARE,UA,3858,ZW,N442AW,3858,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",930,938.0,8.0,29.0,1007.0,1055.0,11.0,1045,1106.0,21.0,0,,0,N,75.0,88.0,48.0,1,174,0.0,2.0,13.0,0.0,6.0,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
572,572,1576454400,UA,UA_CODESHARE,UA,3683,YX,N656RW,3683,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1200,1222.0,22.0,13.0,1235.0,1319.0,17.0,1317,1336.0,19.0,0,,0,N,77.0,74.0,44.0,1,174,9.0,0.0,0.0,0.0,10.0,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
573,573,1548115200,UA,UA_CODESHARE,UA,3848,ZW,,3848,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1715,,,,,,,1829,,,1,C,0,N,74.0,,,1,174,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
