fl_date,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,dep_delay,arr_delay,cancelled,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_hour,arr_hour,delayed,haul,month,season,dep_time_of_the_day,dest_code,carrier_code,unique_carrier_code,label
2019-04-29,DL,3676,OO,3676,14869,SLC,11884,GEG,-5.0,-15.0,0.0,106.0,96.0,79.0,1.0,546.0,0.0,0.0,0.0,0.0,0.0,15,15,0,SHORT,4,spring,afternoon,113,3,18,0
2018-04-10,F9,1895,F9,1895,14683,SAT,14107,PHX,119.0,90.0,0.0,160.0,131.0,115.0,1.0,843.0,36.0,0.0,0.0,0.0,54.0,22,23,1,SHORT,4,spring,night,228,4,10,1
2018-03-30,B6,719,B6,719,12478,JFK,10397,ATL,19.0,18.0,0.0,158.0,157.0,125.0,1.0,760.0,9.0,0.0,0.0,0.0,9.0,15,17,1,SHORT,3,spring,afternoon,16,2,4,1
2019-02-13,UA,5866,OO,5866,13930,ORD,14711,SCE,-13.0,-19.0,0.0,103.0,97.0,70.0,1.0,528.0,0.0,0.0,0.0,0.0,0.0,21,23,0,SHORT,2,winter,evening,269,8,18,0
2019-02-22,B6,98,B6,98,11292,DEN,12478,JFK,99.0,100.0,0.0,219.0,220.0,183.0,1.0,1626.0,81.0,0.0,1.0,0.0,18.0,1,7,1,SHORT,2,winter,night,153,2,4,1
2018-11-09,AA,2553,AA,2553,13487,MSP,11057,CLT,16.0,15.0,0.0,152.0,151.0,124.0,1.0,930.0,3.0,0.0,0.0,0.0,12.0,12,15,1,SHORT,11,autumn,afternoon,57,0,1,1
2018-07-18,WN,295,WN,295,12889,LAS,15304,TPA,62.0,60.0,0.0,265.0,263.0,237.0,1.0,1984.0,0.0,0.0,0.0,0.0,60.0,19,2,1,SHORT,7,summer,evening,301,10,23,1
2018-07-09,DL,1339,DL,1339,10821,BWI,10397,ATL,1.0,-16.0,0.0,122.0,105.0,79.0,1.0,577.0,0.0,0.0,0.0,0.0,0.0,7,8,0,SHORT,7,summer,morning,16,3,7,0
2019-01-04,UA,5507,OO,5507,13930,ORD,13487,MSP,-4.0,-10.0,0.0,94.0,88.0,59.0,1.0,334.0,0.0,0.0,0.0,0.0,0.0,17,19,0,SHORT,1,winter,afternoon,204,8,18,0
2018-03-11,G4,934,G4,934,14112,PIE,10423,AUS,-5.0,-24.0,0.0,164.0,145.0,130.0,1.0,920.0,0.0,0.0,0.0,0.0,0.0,7,8,0,SHORT,3,spring,morning,19,5,11,0
2019-12-16,DL,1542,DL,1542,14747,SEA,12478,JFK,13.0,16.0,0.0,306.0,309.0,279.0,1.0,2422.0,13.0,0.0,3.0,0.0,0.0,15,23,1,SHORT,12,winter,afternoon,153,3,7,1
2018-03-19,UA,349,UA,349,11066,CMH,11292,DEN,-8.0,-20.0,0.0,201.0,189.0,169.0,1.0,1154.0,0.0,0.0,0.0,0.0,0.0,7,8,0,SHORT,3,spring,morning,76,8,21,0
2019-09-06,B6,251,B6,251,10721,BOS,13204,MCO,-7.0,-4.0,0.0,191.0,194.0,161.0,1.0,1121.0,0.0,0.0,0.0,0.0,0.0,9,13,0,SHORT,9,autumn,morning,182,2,4,0
2019-02-10,DL,1891,DL,1891,12892,LAX,12478,JFK,-3.0,-69.0,0.0,333.0,267.0,250.0,1.0,2475.0,0.0,0.0,0.0,0.0,0.0,7,15,0,SHORT,2,winter,morning,153,3,7,0
2019-03-11,AA,225,AA,225,13244,MEM,11298,DFW,-1.0,9.0,0.0,107.0,117.0,71.0,1.0,431.0,0.0,0.0,0.0,0.0,0.0,17,19,1,SHORT,3,spring,afternoon,77,0,1,1
2018-01-26,AA,5396,OH,5396,14307,PVD,11278,DCA,-6.0,-14.0,0.0,92.0,84.0,72.0,1.0,356.0,0.0,0.0,0.0,0.0,0.0,11,13,0,SHORT,1,winter,morning,75,0,17,0
2019-10-26,WN,4989,WN,4989,13796,OAK,12889,LAS,1.0,-1.0,0.0,90.0,88.0,60.0,1.0,407.0,0.0,0.0,0.0,0.0,0.0,7,8,0,SHORT,10,autumn,morning,159,10,23,0
2018-08-04,AA,55,AA,55,13930,ORD,12889,LAS,-6.0,-8.0,0.0,229.0,227.0,201.0,1.0,1514.0,0.0,0.0,0.0,0.0,0.0,19,21,0,SHORT,8,summer,evening,159,0,1,0
2019-08-20,UA,749,UA,749,11292,DEN,11618,EWR,12.0,7.0,0.0,230.0,225.0,189.0,1.0,1605.0,0.0,0.0,0.0,0.0,0.0,13,19,1,SHORT,8,summer,afternoon,97,8,21,1
2018-11-04,DL,4443,OO,4443,11193,CVG,13342,MKE,-2.0,-4.0,0.0,83.0,81.0,58.0,1.0,318.0,0.0,0.0,0.0,0.0,0.0,19,19,0,SHORT,11,autumn,evening,193,3,18,0
2019-12-28,DL,1060,DL,1060,11697,FLL,11433,DTW,85.0,77.0,0.0,179.0,171.0,149.0,1.0,1127.0,0.0,0.0,0.0,0.0,77.0,15,18,1,SHORT,12,winter,afternoon,84,3,7,1
2019-08-28,WN,1080,WN,1080,10800,BUR,12889,LAS,-6.0,-12.0,0.0,60.0,54.0,41.0,1.0,223.0,0.0,0.0,0.0,0.0,0.0,20,21,0,SHORT,8,summer,evening,159,10,23,0
2019-07-05,AA,1905,AA,1905,11057,CLT,10257,ALB,-8.0,-14.0,0.0,119.0,113.0,95.0,1.0,646.0,0.0,0.0,0.0,0.0,0.0,16,17,0,SHORT,7,summer,afternoon,9,0,1,0
2018-05-09,AA,1878,AA,1878,12323,ILM,11057,CLT,-4.0,-22.0,0.0,73.0,55.0,35.0,1.0,185.0,0.0,0.0,0.0,0.0,0.0,12,13,0,SHORT,5,spring,afternoon,57,0,1,0
2018-08-17,DL,1238,DL,1238,10397,ATL,13230,MDT,4.0,-2.0,0.0,118.0,112.0,88.0,1.0,620.0,0.0,0.0,0.0,0.0,0.0,15,17,0,SHORT,8,summer,afternoon,183,3,7,0
2019-03-04,B6,1786,B6,1786,14122,PIT,10721,BOS,214.0,226.0,0.0,98.0,110.0,75.0,1.0,496.0,0.0,0.0,34.0,0.0,192.0,18,20,1,SHORT,3,spring,evening,37,2,4,1
2018-02-02,DL,6195,G7,6195,11433,DTW,13232,MDW,-4.0,-29.0,0.0,89.0,64.0,45.0,1.0,228.0,0.0,0.0,0.0,0.0,0.0,11,12,0,SHORT,2,winter,morning,184,3,12,0
2019-01-02,DL,2099,DL,2099,14730,SDF,10397,ATL,-3.0,-18.0,0.0,91.0,76.0,60.0,1.0,321.0,0.0,0.0,0.0,0.0,0.0,5,7,0,SHORT,1,winter,night,16,3,7,0
2019-04-12,B6,1035,B6,1035,15024,STT,14843,SJU,-5.0,-15.0,0.0,39.0,29.0,19.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,9,10,0,SHORT,4,spring,morning,282,2,4,0
2019-12-31,B6,213,B6,213,12478,JFK,12954,LGB,-5.0,-51.0,0.0,384.0,338.0,322.0,1.0,2465.0,0.0,0.0,0.0,0.0,0.0,5,8,0,SHORT,12,winter,night,169,2,4,0
2019-06-13,HA,655,EM,655,13034,LNY,12173,HNL,7.0,16.0,0.0,32.0,41.0,22.0,1.0,72.0,0.0,0.0,9.0,0.0,7.0,14,15,1,SHORT,6,summer,afternoon,131,6,8,1
2018-10-09,AA,2691,AA,2691,14771,SFO,13930,ORD,1.0,13.0,0.0,262.0,274.0,236.0,1.0,1846.0,0.0,0.0,0.0,0.0,0.0,9,16,1,SHORT,10,autumn,morning,216,0,1,1
2018-11-07,DL,2659,DL,2659,10397,ATL,10792,BUF,-2.0,-11.0,0.0,123.0,114.0,89.0,1.0,712.0,0.0,0.0,0.0,0.0,0.0,10,12,0,SHORT,11,autumn,morning,43,3,7,0
2019-01-08,AS,619,AS,619,12889,LAS,14747,SEA,-15.0,-25.0,0.0,160.0,150.0,118.0,1.0,867.0,0.0,0.0,0.0,0.0,0.0,7,10,0,SHORT,1,winter,morning,272,1,2,0
